Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Anand Chandrasekaran,27,24,https://www.semanticscholar.org/author/Anand-Chandrasekaran/39902925,3,3,180,,,https://www.scopus.com/authid/detail.uri?authorId=8512108300,0,Mad Street Den,Chennai,,0,"Machine Learning, Software Development, Pattern Recognition"
Subir Kumar Saha,26,34,https://www.semanticscholar.org/author/Subir-Kumar-Saha/2614693,19,135,1040,20,30,https://www.scopus.com/authid/detail.uri?authorId=7403281143,https://scholar.google.com/citations?user=9Td4hFMAAAAJ&hl=en,IIT Delhi,New Delhi,3998,2297,Dynamics Robotics Multibody Dynamics Design
Amitabha Mukerjee,26,26,https://www.semanticscholar.org/author/Amitabha-Mukerjee/1803835,9,84,293,10,17,https://www.scopus.com/authid/detail.uri?authorId=7005533941,https://scholar.google.com/citations?user=6lD1AscAAAAJ&hl=en,IIT Kanpur,Kanpur,1349,297,Machine Learning Computer Vision Artificial intelligence cognitive science Robotics
Shashank Gupta,20,20,https://www.semanticscholar.org/author/Shashank-Gupta/40014740,8,32,193,4,4,https://www.scopus.com/authid/detail.uri?authorId=56925715300,https://scholar.google.com/citations?user=UvTcU-IAAAAJ&hl=en,BITS Pilani,Bengaluru,111,111,Machine Learning Natural Language Processing Deep Learning
Girish Keshav Palshikar,26,21,https://www.semanticscholar.org/author/Girish-Keshav-Palshikar/1747097,7,47,240,9,13,https://www.scopus.com/authid/detail.uri?authorId=55890466600,https://scholar.google.co.in/citations?user=vXtdUZEAAAAJ&hl=en,TRDDC,Pune,888,540,Data Mining Machine Learning Text Mining Pattern Recognition Artificial intelligence
V Srinivasa Chakravarthy,24,25,https://www.semanticscholar.org/author/V.-Srinivasa-Chakravarthy/1819864,17,86,834,18,23,https://www.scopus.com/authid/detail.uri?authorId=8408254600,https://scholar.google.com/citations?user=4PqxB3gAAAAJ&hl=en,IIT Madras,Chennai,1872,956,Computational neuroscience computational cardiology Pattern Recognition ...
Chandra Sekhar Chellu,24,35,https://www.semanticscholar.org/author/Chellu-Chandra-Sekhar/1685874,8,43,179,12,17,https://www.scopus.com/authid/detail.uri?authorId=7003349413,https://scholar.google.com/citations?user=rO5ZgW4AAAAJ&hl=en,IIT Madras,Chennai,871,379,Speech Technology Support Vector Machine Kernel Methods Content based information retrieval
Balaji Vasan Srinivasan,24,35,https://www.semanticscholar.org/author/Balaji-Vasan-Srinivasan/2881425,6,21,159,6,9,https://www.scopus.com/authid/detail.uri?authorId=57200153609,https://scholar.google.co.in/citations?hl=en&user=2c_x00gAAAAJ&view_op=list_works,Adobe Inc.,Bengaluru,414,254,Natural Language Processing Social Network Analysis Pattern Recognition Machine Learning speaker recognition
Samik Banerjee,24,24,https://www.semanticscholar.org/author/Samik-Banerjee/2643208,,,,2,2,0,https://scholar.google.com/citations?hl=en&user=XbMnDucAAAAJ&view_op=list_works&sortby=pubdate,IIT Madras,Chennai,20,20,Computer Vision Face RecognitonDomain AdaptationTransfer Learning Deep Learning
Pravin Chandra,23,23,https://www.semanticscholar.org/author/Pravin-Veenu-a-Chandra/1788913,8,57,266,11,15,https://www.scopus.com/authid/detail.uri?authorId=7202774432,https://scholar.google.com/citations?user=ORDnr5sAAAAJ&hl=en,Guru Gobind Singh Indraprastha University,New Delhi,825,479,artificial neural networks Soft Computing Biometrics Software Engineering
G. Sivakumar,22,22,https://www.semanticscholar.org/author/G.-Sivakumar/1854611,9,27,259,9,19,https://www.scopus.com/authid/detail.uri?authorId=56992740500,https://scholar.google.com/citations?user=gqHcbCkAAAAJ&hl=en,IIT Bombay,Mumbai,978,261,Logic Networks Artificial intelligence
Gaurav Goswami,22,26,https://www.semanticscholar.org/author/Gaurav-Goswami/1931069,8,22,219,11,11,https://www.scopus.com/authid/detail.uri?authorId=56653684100,https://scholar.google.com/citations?user=T7GEOxIAAAAJ&hl=en,IIIT Delhi,New Delhi,372,371,Machine Learning Deep Learning Computer Vision Image Processing Biometrics
Soma Bandyopadhyay,21,18,https://www.semanticscholar.org/author/Soma-Bandyopadhyay/2371958,11,39,308,12,12,https://www.scopus.com/authid/detail.uri?authorId=7402057861,https://scholar.google.com/citations?user=qC_oqOUAAAAJ&hl=en,TCS,Kolkata,746,688,Ubiquitous computingMachine Learning Deep Learning
Sameep Mehta,21,23,https://www.semanticscholar.org/author/Sameep-Mehta/40436241,10,66,413,15,18,https://www.scopus.com/authid/detail.uri?authorId=8349581600,https://scholar.google.com/citations?user=NXA956gAAAAJ&hl=en,IBM AI,New Delhi,1262,702,
Manoj Agarwal,21,28,https://www.semanticscholar.org/author/Manoj-K.-Agarwal/1693332,2,7,23,3,3,https://www.scopus.com/authid/detail.uri?authorId=57202596138,https://scholar.google.com/citations?user=J8u8UM4AAAAJ&hl=en,"University of Delhi, Hans Raj College",New Delhi,30,29,Machine Learning and MOEA
Arijit Ukil,20,17,https://www.semanticscholar.org/author/Arijit-Ukil/2002913,11,52,411,15,16,https://www.scopus.com/authid/detail.uri?authorId=26532154000,https://scholar.google.com/citations?user=wXFj5skAAAAJ&hl=en,TCS,Kolkata,864,707,Internet of ThingsSignal processing Deep Learning Machine Learning
Balamuralidhar P,19,19,https://www.semanticscholar.org/author/P.-Balamuralidhar/1779695,,,,17,20,,https://scholar.google.com/citations?user=OJOJ81YAAAAJ&hl=en,TCS,Bengaluru,1750,1149,Computer Vision Robotics Cyber Physical SystemsSensor InformaticsInternet of Things
Nagarajan T.,19,18,https://www.semanticscholar.org/author/T.-Nagarajan/2229922,2,5,18,11,16,https://www.scopus.com/authid/detail.uri?authorId=55263630200,https://scholar.google.com/citations?user=MDXGGcMAAAAJ&hl=en,SSN College of Engineering,Chennai,830,424,Speech Processing
Vinay P. Namboodiri,19,19,https://www.semanticscholar.org/author/Vinay-P.-Namboodiri/1744135,7,28,171,9,10,https://www.scopus.com/authid/detail.uri?authorId=8724086000,https://scholar.google.com/citations?user=JyHi9OoAAAAJ&hl=en,IIT Kanpur,Kanpur,411,261,Computer Vision Image Processing Machine Learning
Danish Contractor,18,19,https://www.semanticscholar.org/author/Danish-Contractor/2075459,7,20,216,7,8,https://www.scopus.com/authid/detail.uri?authorId=35118552800,https://scholar.google.com.au/citations?hl=en&user=AULk5toAAAAJ&view_op=list_works&sortby=pubdate,IBM,New Delhi,388,291,Natural Language Processing Machine Learning Question & Answering & Dialog Systems information retrieval Web and Social Medi
Sandya Mannarswamy,18,18,https://www.semanticscholar.org/author/Sandya-Mannarswamy/1746273,4,25,74,9,11,https://www.scopus.com/authid/detail.uri?authorId=16230525500,https://scholar.google.co.in/citations?user=i27nd3oAAAAJ&hl=en,Conduent Labs India,Bengaluru,320,206,Natural Language Processing Machine Learning compilers
TN Singh,17,18,https://www.semanticscholar.org/author/T.-N.-Singh/21418651,31,245,4125,35,40,https://www.scopus.com/authid/detail.uri?authorId=35462660300,https://scholar.google.com/citations?user=YMP_vP8AAAAJ&hl=en,IIT Bombay,Mumbai,7255,5264,Rock Mechanics Artificial intelligence Engineering Geology Mining
Garima Gupta,15,16,https://www.semanticscholar.org/author/Garima-Gupta/50046099,1,3,1,3,3,https://www.scopus.com/authid/detail.uri?authorId=57200805311,https://scholar.google.co.in/citations?user=V89bf1cAAAAJ&hl=en,TCS,Gurgaon,18,18,Machine Learning Biomedical Image Processing
Samik Datta,15,15,https://www.semanticscholar.org/author/Samik-Datta/1945860,,,,4,4,0,https://scholar.google.com/citations?hl=en&user=viwjM6IAAAAJ&view_op=list_works&sortby=pubdate,Flipkart,Bengaluru,161,138,Artificial intelligence
Sundararajan Sellamanickam,14,19,https://www.semanticscholar.org/author/Sundararajan-Sellamanickam/1779926,4,9,126,12,14,https://www.scopus.com/authid/detail.uri?authorId=37104793500,https://scholar.google.com/citations?user=JOk66doAAAAJ&hl=en,Microsoft,Bengaluru,1552,959,Machine Learning Data Mining Information Extraction Numerical Optimization
Rakesh Mullick,13,12,https://www.semanticscholar.org/author/Rakesh-Mullick/2626056,12,38,433,11,21,https://www.scopus.com/authid/detail.uri?authorId=56084723200,https://scholar.google.com/citations?user=DCKTNn4AAAAJ&hl=en,GE Global Research India,Bengaluru,1198,451,"Medical Image AnalysisMulti-modality Image Analytics AI /Machine Learning/Deep Learning, VisualizationRegistration and Image Fusion"
Jaya Sil,13,18,https://www.semanticscholar.org/author/Jaya-Sil/2357539,11,131,458,11,15,https://www.scopus.com/authid/detail.uri?authorId=15066095900,https://scholar.google.com/citations?user=sn7ldrwAAAAJ&hl=en,IIEST Shibpur,Howrah,989,727,Image Processing Machine Learning Bioinformatics
Anush Sankaran,13,13,https://www.semanticscholar.org/author/Anush-Sankaran/2473935,8,15,149,10,11,https://www.scopus.com/authid/detail.uri?authorId=55265491500,https://scholar.google.com/citations?user=NF8is_sAAAAJ&hl=en,IBM AI,Bengaluru,270,257,Deep Learning Human Cognition Biometrics Fingerprints Computer Vision
Preethi Jyothi,13,14,https://www.semanticscholar.org/author/Preethi-Jyothi/2188285,8,27,163,9,10,https://www.scopus.com/authid/detail.uri?authorId=35179857100,https://scholar.google.com/citations?user=QN_uhu8AAAAJ&hl=en,IIT Bombay,Mumbai,334,262,Speech recognition Natural Language Processing Machine Learning
Ranjitha Prasad,13,24,https://www.semanticscholar.org/author/Ranjitha-Prasad/38690555,6,12,133,5,5,https://www.scopus.com/authid/detail.uri?authorId=7402378139,https://scholar.google.com/citations?user=ADJe1AsAAAAJ&hl=en,TCS,New Delhi,183,177,Estimation theoryBayesian Inference
Srinivas Sridharan,13,10,https://www.semanticscholar.org/author/Srinivas-Sridharan/3433231,5,10,56,8,9,https://www.scopus.com/authid/detail.uri?authorId=57196843396,https://scholar.google.com/citations?user=fIggjB4AAAAJ&hl=en,Intel,Bengaluru,278,188,Deep Learning Scaling Machine Learning SL
Uma Sawant,13,16,https://www.semanticscholar.org/author/Uma-Sawant/3214158,3,6,98,5,5,https://www.scopus.com/authid/detail.uri?authorId=26535080400,https://scholar.google.com/citations?hl=en&user=diJeNY4AAAAJ&view_op=list_works&sortby=pubdate,LinkedIn,Bengaluru,270,157,information retrieval
Arun Rajkumar,13,10,https://www.semanticscholar.org/author/Arun-Rajkumar/33173734,3,9,79,8,8,https://www.scopus.com/authid/detail.uri?authorId=56461042000,https://scholar.google.co.in/citations?user=gytfaaoAAAAJ&hl=en,IISc Bangalore; Conduent Labs India,Bengaluru,435,401,Machine Learning Rank AggregationStatistical Learning
Vishal Goyal,13,13,https://www.semanticscholar.org/author/Vishal-Goyal/2707041,5,23,59,10,11,https://www.scopus.com/authid/detail.uri?authorId=24829473000,https://scholar.google.co.in/citations?user=KJbVNt8AAAAJ&hl=en,Punjab University,Patiala,401,272,Cognitive Computing Artificial Intelligence Natural Language Processing Machine Translation Language Technologies
Anupama Kowli,12,11,https://www.semanticscholar.org/author/Anupama-Kowli/1687591,9,19,314,8,10,https://www.scopus.com/authid/detail.uri?authorId=35324619800,https://scholar.google.com/citations?user=0cuvAPkAAAAJ&hl=en,IIT Bombay,Mumbai,539,375,Power Systems Operations and Control Electricity Markets Stochastic Control Reinforcement Learning
Vishnu Vardhan Makkapati,11,10,https://www.semanticscholar.org/author/Vishnu-Vardhan-Makkapati/2621140,5,23,141,6,10,https://www.scopus.com/authid/detail.uri?authorId=56202803300,https://scholar.google.com/citations?hl=en&user=aEhGxFYAAAAJ&view_op=list_works&sortby=pubdate,Myntra,Bengaluru,307,175,Computer Vision Deep Learning Pattern Recognition Image Processing and Computer Graphics
Malay Bhattacharyya,10,14,https://www.semanticscholar.org/author/Malay-Bhattacharyya/4152941,9,51,265,9,11,https://www.scopus.com/authid/detail.uri?authorId=23484208900,https://scholar.google.co.in/citations?user=-emvWI8AAAAJ,Indian Statistical Institute,Kolkata,408,284,CrowdsourcingBig Data AnalysisComputational Biology
Nikhil Ketkar,10,9,https://www.semanticscholar.org/author/Nikhil-S.-Ketkar/3054554,5,13,109,5,8,https://www.scopus.com/authid/detail.uri?authorId=23501973400,https://scholar.google.com/citations?hl=en&user=lLoxr3wAAAAJ&view_op=list_works&sortby=pubdate,Flipkart,Bengaluru,294,143,Machine Learning
Radhika Mamidi,10,9,https://www.semanticscholar.org/author/Radhika-Mamidi/1829635,3,23,29,7,8,https://www.scopus.com/authid/detail.uri?authorId=55970130200,https://scholar.google.com.au/citations?user=DsIpZR0AAAAJ&hl=en,IIIT Hyderabad,Hyderabad,232,195,Machine Translation Dialog SystemsSentiment Analysis Computational Humour
Prabir Kumar Biswas,10,78,https://www.semanticscholar.org/author/Prabir-Kumar-Biswas/1758797,17,109,1420,,,https://www.scopus.com/authid/detail.uri?authorId=7202443668,,IIT Kharagpur,Kharagpur,,,Image Processing Computer Vision Automated Visual Inspection Multimedia Network Pattern Recognition Sensor Network
Suja George,9,11,https://www.semanticscholar.org/author/Suja-George/5230209,8,23,172,9,9,https://www.scopus.com/authid/detail.uri?authorId=56431944100,https://scholar.google.com/citations?user=gHeR6i0AAAAJ&hl=en,MNIT Jaipur,Jaipur,251,241,Process Modeling Simulation and Control Water and Waste water treatment artificial neural networks Microbial Fuel cells
Ehtesham Hassan,9,12,https://www.semanticscholar.org/author/Ehtesham-Hassan/6620636,6,38,119,9,9,https://www.scopus.com/authid/detail.uri?authorId=56948760200,https://scholar.google.com/citations?user=Ex0GS0sAAAAJ&hl=en,TCS,New Delhi,226,185,Pattern Recognition Computer Vision Multimedia AnalysisMachine Learning Data Mining
Vinod Kumar D M,9,8,https://www.semanticscholar.org/author/D.-M.-Vinod-Kumar/27504405,5,19,60,43,60,https://www.scopus.com/authid/detail.uri?authorId=56314844700,https://scholar.google.com/citations?user=39fyBKoAAAAJ&hl=en,NIT Warangal,Warangal,18444,10580,Power System deregulation Soft Computing techniques Artificial intelligence Distribution state estimation
Parag Chaudhuri,9,9,https://www.semanticscholar.org/author/Parag-Chaudhuri/32319566,5,28,123,4,7,https://www.scopus.com/authid/detail.uri?authorId=22978562200,https://scholar.google.com/citations?user=kOkSgaMAAAAJ&hl=en,IIT Bombay,Mumbai,249,105,Animation Computer Graphics Computer Vision Virtual and Augmented Reality
Surjya K Pal,8,7,https://www.semanticscholar.org/author/Surjya-K.-Pal/20455722,23,140,2021,25,27,https://www.scopus.com/authid/detail.uri?authorId=35570021100,https://scholar.google.com/citations?user=rj8w-HgAAAAJ&hl=en,IIT Kharagpur,Kharagpur,2895,2085,manufacturing process welding artificial neural networks bond graphfinite element
Shyam S Pattnaik,8,10,https://www.semanticscholar.org/author/Shyam-S.-Pattnaik/34736471,16,113,789,14,21,https://www.scopus.com/authid/detail.uri?authorId=7006422314,https://scholar.google.com/citations?user=miyyHk0AAAAJ&hl=en,National Institute of Technical Teachers' Training and Research,Chandigarh,1441,795,Soft Computing Artificial Neural Networks ICT
Harshad Khadilkar,8,19,https://www.semanticscholar.org/author/Harshad-Khadilkar/2512658,8,32,247,9,10,https://www.scopus.com/authid/detail.uri?authorId=55311946400,https://scholar.google.com/citations?user=y9efmmsAAAAJ&hl=en,TCS,Mumbai,409,327,Air and rail traffic managementStochastic Control Machine Learning for optimisation
Hanumant H. Redkar,8,11,https://www.semanticscholar.org/author/Hanumant-Harichandra-Redkar/2801989,2,5,19,3,3,https://www.scopus.com/authid/detail.uri?authorId=57160235800,https://scholar.google.com/citations?user=mbXC6fwAAAAJ&hl=en,IIT Bombay,Mumbai,39,39,Natural Language Processing Research.
Kevin Patel,8,9,https://www.semanticscholar.org/author/Kevin-Patel/1780546,0,7,0,2,2,https://www.scopus.com/authid/detail.uri?authorId=56506210500,https://scholar.google.com/citations?user=rtYRbqkAAAAJ&hl=en,IIT Bombay,Mumbai,46,46,Natural Language Processing Deep Learning Machine Learning Artificial intelligence
Jyoti Pawar,8,8,https://www.semanticscholar.org/author/Jyoti-Pawar/2517112,4,36,48,,,https://www.scopus.com/authid/detail.uri?authorId=23668496400,,Goa University,Goa,,,
Sunil Kumar Kopparapu,7,9,https://www.semanticscholar.org/author/Sunil-Kumar-Kopparapu/1809276,8,96,278,11,15,https://www.scopus.com/authid/detail.uri?authorId=6603090503,https://scholar.google.com/citations?user=2OsvtvgAAAAJ&hl=en,TCS,Mumbai,1031,596,Speech Processing Script ProcessingImage ProcesingSignal processing Natural Language Processing
Brojeshwar Bhowmick,7,14,https://www.semanticscholar.org/author/Brojeshwar-Bhowmick/3262263,7,30,143,7,8,https://www.scopus.com/authid/detail.uri?authorId=26422776800,https://scholar.google.com/citations?user=Eqf8NrEAAAAJ&hl=en,TCS,Kolkata,358,271,Computer Vision Computer Graphics Deep Reinforcement Learning
Sunayana Sitaram,7,7,https://www.semanticscholar.org/author/Sunayana-Sitaram/3010457,6,14,51,8,8,https://www.scopus.com/authid/detail.uri?authorId=26428438700,https://scholar.google.com/citations?user=PUxwYrkAAAAJ&hl=en,Microsoft,Bengaluru,143,122,Code-switchingSpeech recognition Speech SynthesisLow-Resource LanguagesSpoken Dialogue Systems
Hiranmay Ghosh,7,6,https://www.semanticscholar.org/author/Hiranmay-Ghosh/2448141,6,41,139,6,10,https://www.scopus.com/authid/detail.uri?authorId=7005441790,https://scholar.google.com/citations?user=XUwiadkAAAAJ&hl=en,TCS,Mysore,319,151,Cognitive visionKnowledge representationReasoning
Korra Sathya Babu,7,7,https://www.semanticscholar.org/author/Korra-Sathya-Babu/2441857,6,26,89,7,8,https://www.scopus.com/authid/detail.uri?authorId=35092723900,https://scholar.google.co.in/citations?user=gjuytMoAAAAJ&hl=en,NIT Rourkela,Rourkela,211,187,Social ComputingNatural Language Processing Data Engineering
Arnav Kumar Jain,7,11,https://www.semanticscholar.org/author/Arnav-Kumar-Jain/7284555,1,3,47,3,3,https://www.scopus.com/authid/detail.uri?authorId=57195940798,https://scholar.google.co.in/citations?user=tu7wKckAAAAJ&hl=en,IIT Kharagpur,Kharagpur,141,141,Deep Learning Machine Learning Computer Vision
Sahil Sharma,7,16,https://www.semanticscholar.org/author/Sahil-Sharma/48703799,,,,5,5,,https://scholar.google.com/citations?user=P6l5tBcAAAAJ&hl=en,Google,Bengaluru,161,93,Reinforcement Learning Deep Reinforcement Learning Deep Learning Artificial intelligence
Anupriya Gogna,6,18,https://www.semanticscholar.org/author/Anupriya-Gogna/2169945,11,19,123,9,9,https://www.scopus.com/authid/detail.uri?authorId=56347517100,https://scholar.google.com/citations?user=VvE0trgAAAAJ&hl=en,GE Global Research,New Delhi,241,239,Deep Learning Medical Image Analytics Compressive Sensing Collaborative Filtering Metaheuristics
Sourangshu Bhattacharya,6,6,https://www.semanticscholar.org/author/Sourangshu-Bhattacharya/1700393,7,23,86,7,9,https://www.scopus.com/authid/detail.uri?authorId=16052149900,https://scholar.google.com/citations?user=IixRsP0AAAAJ&hl=en,IIT Kharagpur,Kharagpur,218,149,Machine Learning Big Data Optimization
Lavanya Sita Tekumalla,6,7,https://www.semanticscholar.org/author/Lavanya-Sita-Tekumalla/2429811,2,5,5,3,4,https://www.scopus.com/authid/detail.uri?authorId=55903378300,https://scholar.google.co.in/citations?user=UnRNkksAAAAJ&hl=en,IISc Bangalore,Bengaluru,78,29,Machine Learning Data Mining
Abhinav Agarwalla,6,6,https://www.semanticscholar.org/author/Abhinav-Agarwalla/34762956,1,4,47,3,3,https://www.scopus.com/authid/detail.uri?authorId=57195936642,https://scholar.google.co.in/citations?user=d0rBsEAAAAAJ&hl=en,Microsoft,Hyderabad,142,142,Computer Vision Deep Learning Reinforcement Learning
Naveen Mellempudi,6,5,https://www.semanticscholar.org/author/Naveen-Mellempudi/8792111,,,,4,4,,https://scholar.google.com/citations?user=YsJnkagAAAAJ&hl=en,Intel,Bengaluru,59,59,Artificial intelligence Machine Learning
Gaurav Harit,6,3,https://www.semanticscholar.org/author/Gaurav-Harit/46845638,9,49,225,,,https://www.scopus.com/authid/detail.uri?authorId=6508137887,,IIT,Jodhpur,,,Video Analysis Document Image Analysis
Rohan Banerjee,17,17,https://www.semanticscholar.org/author/Rohan-Banerjee/3216424,7,29,154,8,9,https://www.scopus.com/authid/detail.uri?authorId=55609319600,https://scholar.google.com/citations?user=Fgto-DQAAAAJ&hl=en,TCS,Kolkata,202,196,SystemsSignal processing Machine Learning
Shilpa Desai,5,6,https://www.semanticscholar.org/author/Shilpa-Desai/2127684,,,,3,3,,https://scholar.google.com/citations?user=uSGSHQ0AAAAJ&hl=en,Fr. Agnel College Pilar,Goa,27,24,Natural Language Processing Machine Learning
Anima Majumder,5,7,https://www.semanticscholar.org/author/Anima-Majumder/37584905,4,14,98,6,6,https://www.scopus.com/authid/detail.uri?authorId=35753605000,https://scholar.google.com/citations?user=yIkPDR0AAAAJ&hl=en,TCS,Bengaluru,196,166,Deep Learning Computer Vision and Machine Learning
Nagendra R Velaga,4,4,https://www.semanticscholar.org/author/Nagendra-R.-Velaga/2663297,11,39,387,13,13,https://www.scopus.com/authid/detail.uri?authorId=26645222600,https://scholar.google.com/citations?user=lGeaDAUAAAAJ&hl=en,IIT Bombay,Mumbai,696,564,
Shivajirao Jadhav,4,3,https://www.semanticscholar.org/author/Shivajirao-Jadhav/35925236,6,7,100,9,9,https://www.scopus.com/authid/detail.uri?authorId=36988053400,https://scholar.google.com/citations?user=gK6Eq_UAAAAJ&hl=en,Dr. Babasaheb Ambedkar Technological University,Raigad,246,164,Soft Computing Machine Learning artificial neural networks
Bidyut Kr. Patra,4,6,https://www.semanticscholar.org/author/Bidyut-Kr.-Patra/8943033,5,21,134,7,7,https://www.scopus.com/authid/detail.uri?authorId=35070270000,https://scholar.google.com/citations?user=xLMLI6YAAAAJ&hl=en,National Institute of Technology Rourkela,Rourkela,206,179,Data Mining Pattern Recognition Recommender System
Sampath Dechu,4,4,https://www.semanticscholar.org/author/Sampath-Dechu/2530782,4,11,44,2,3,https://www.scopus.com/authid/detail.uri?authorId=6508207784,https://scholar.google.co.in/citations?user=VJAo_FYAAAAJ&hl=en,IBM,Bengaluru,65,10,AI Solutions for Enterprise Automation
